2014-08-01 20:14:56 startup archives install
2014-08-01 20:14:56 install base-passwd:armhf <none> 3.5.26
2014-08-01 20:14:56 status half-installed base-passwd:armhf 3.5.26
2014-08-01 20:14:56 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:14:56 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:14:56 configure base-passwd:armhf 3.5.26 3.5.26
2014-08-01 20:14:56 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:14:56 status half-configured base-passwd:armhf 3.5.26
2014-08-01 20:14:56 status installed base-passwd:armhf 3.5.26
2014-08-01 20:14:56 startup archives install
2014-08-01 20:14:57 install base-files:armhf <none> 7.1wheezy6
2014-08-01 20:14:57 status half-installed base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 configure base-files:armhf 7.1wheezy6 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:14:57 status half-configured base-files:armhf 7.1wheezy6
2014-08-01 20:14:59 status installed base-files:armhf 7.1wheezy6
2014-08-01 20:14:59 startup archives install
2014-08-01 20:15:00 upgrade dpkg 1.16.15 1.16.15
2014-08-01 20:15:00 status half-configured dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status half-installed dpkg 1.16.15
2014-08-01 20:15:00 status half-installed dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 configure dpkg 1.16.15 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status unpacked dpkg 1.16.15
2014-08-01 20:15:00 status half-configured dpkg 1.16.15
2014-08-01 20:15:01 status installed dpkg 1.16.15
2014-08-01 20:15:01 startup archives install
2014-08-01 20:15:01 install libc6:armhf <none> 2.13-38+deb7u2
2014-08-01 20:15:01 status half-installed libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:02 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:02 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:02 configure libc6:armhf 2.13-38+deb7u2 2.13-38+deb7u2
2014-08-01 20:15:02 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:02 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:02 status half-configured libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:05 status installed libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:05 startup archives install
2014-08-01 20:15:06 install perl-base:armhf <none> 5.14.2-21+deb7u1
2014-08-01 20:15:06 status half-installed perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 configure perl-base:armhf 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-08-01 20:15:07 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 status half-configured perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 status installed perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:07 startup archives install
2014-08-01 20:15:07 install mawk:armhf <none> 1.3.3-17
2014-08-01 20:15:07 status half-installed mawk:armhf 1.3.3-17
2014-08-01 20:15:07 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:07 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:07 configure mawk:armhf 1.3.3-17 1.3.3-17
2014-08-01 20:15:07 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:07 status half-configured mawk:armhf 1.3.3-17
2014-08-01 20:15:07 status installed mawk:armhf 1.3.3-17
2014-08-01 20:15:07 startup archives install
2014-08-01 20:15:08 install debconf:all <none> 1.5.49
2014-08-01 20:15:08 status half-installed debconf:all 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 configure debconf:all 1.5.49 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 status unpacked debconf:all 1.5.49
2014-08-01 20:15:08 status half-configured debconf:all 1.5.49
2014-08-01 20:15:10 status installed debconf:all 1.5.49
2014-08-01 20:15:11 startup archives unpack
2014-08-01 20:15:11 install libacl1:armhf <none> 2.2.51-8
2014-08-01 20:15:11 status half-installed libacl1:armhf 2.2.51-8
2014-08-01 20:15:11 status unpacked libacl1:armhf 2.2.51-8
2014-08-01 20:15:11 status unpacked libacl1:armhf 2.2.51-8
2014-08-01 20:15:11 install libattr1:armhf <none> 1:2.4.46-8
2014-08-01 20:15:11 status half-installed libattr1:armhf 1:2.4.46-8
2014-08-01 20:15:11 status unpacked libattr1:armhf 1:2.4.46-8
2014-08-01 20:15:11 status unpacked libattr1:armhf 1:2.4.46-8
2014-08-01 20:15:11 upgrade base-files:armhf 7.1wheezy6 7.1wheezy6
2014-08-01 20:15:11 status half-configured base-files:armhf 7.1wheezy6
2014-08-01 20:15:11 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:15:11 status half-installed base-files:armhf 7.1wheezy6
2014-08-01 20:15:12 status half-installed base-files:armhf 7.1wheezy6
2014-08-01 20:15:12 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:15:12 status unpacked base-files:armhf 7.1wheezy6
2014-08-01 20:15:12 upgrade base-passwd:armhf 3.5.26 3.5.26
